SoundDataNode	Category	Subcategory	V1Scope	V1PrimaryNeeds
hulkexplodewarning	Combat	Explosions / Heavy Impacts	OutOfScope	
landmine_trigger	Combat	Explosions / Heavy Impacts	OutOfScope	
m136_rocket_lp	Combat	Explosions / Heavy Impacts	Primary	4_Explosions;6_ElectricalAndBlockLoops
mine_airfilter_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
mine_airfilter_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
mine_hubcap_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
mine_hubcap_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
mine_tin_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
mine_tin_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
molotov_explosion	Combat	Explosions / Heavy Impacts	Primary	4_Explosions
rocket_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
rocket_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
rocketcasing_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
rocketcasing_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
rockettip_grab	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
rockettip_place	Combat	Explosions / Heavy Impacts	Primary	11_InteractionPrompts
44magnum_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_reload	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_reload_part_04	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_reload_part_05	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
44magnum_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_fire_end	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_reload_part_04	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
ak47_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
Auger_Reload	Combat	Firearms / Ranged Weapons	Primary	1_AugerChainsaw
autoshotgun_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
autoshotgun_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
autoshotgun_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
autoshotgun_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_reload	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_reload_part_04	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
blunderbuss_reload_part_05	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
bow_draw	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_fire	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_fire_abort	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_fire_cancel	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_nock	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_unquiver	Combat	Firearms / Ranged Weapons	OutOfScope	
bow_wooden_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
bow_wooden_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
bow2_draw	Combat	Firearms / Ranged Weapons	OutOfScope	
bow2_fire	Combat	Firearms / Ranged Weapons	OutOfScope	
bow3_draw	Combat	Firearms / Ranged Weapons	OutOfScope	
bow3_fire	Combat	Firearms / Ranged Weapons	OutOfScope	
chainsaw_reload	Combat	Firearms / Ranged Weapons	Primary	1_AugerChainsaw
crossbow_fire	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow_reload_part_03	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow_sight_in	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow_sight_out	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow2_fire	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow2_holster	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow2_reload	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow2_reload_back	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow2_reload_fwd	Combat	Firearms / Ranged Weapons	OutOfScope	
crossbow2_unholster	Combat	Firearms / Ranged Weapons	OutOfScope	
darttrap_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
darttrap_fire_lp	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
hunting_rifle_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
hunting_rifle_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
hunting_rifle_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
hunting_rifle_reload_part_03	Combat	Firearms / Ranged Weapons	OutOfScope	
hunting_rifle_reload_part_04	Combat	Firearms / Ranged Weapons	OutOfScope	
hunting_rifle_reload_part_05	Combat	Firearms / Ranged Weapons	OutOfScope	
hunting_rifle_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
junksledge_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
junkturret_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
junkturret_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
junkturret_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
junkturret_reload_part_03	Combat	Firearms / Ranged Weapons	OutOfScope	
launcher_sight_in	Combat	Firearms / Ranged Weapons	OutOfScope	
launcher_sight_out	Combat	Firearms / Ranged Weapons	OutOfScope	
lever_action_rifle_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m136_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m136_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
m136_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
m136_reload_part_03	Combat	Firearms / Ranged Weapons	OutOfScope	
m60_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_fire_end	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_04	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_05	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_06	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_07	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_08	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_reload_part_09	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
m60_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
nailgun_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
nailgun_reload	Combat	Firearms / Ranged Weapons	OutOfScope	
pipe_pistol_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pipe_rifle_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pipe_shotgun_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pipe_smg_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
Pistol_Fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
pistol_mageject	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_maginsert	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
pistol_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_sight_in	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_sight_out	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_slideback	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pistol_slidefwd	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pump_shotgun_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
pump_shotgun_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
revolver_sight_in	Combat	Firearms / Ranged Weapons	OutOfScope	
revolver_sight_out	Combat	Firearms / Ranged Weapons	OutOfScope	
rifle_polymer_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
rifle_polymer_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
rifle_sight_in	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
rifle_sight_out	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
rifle_wood_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
rifle_wood_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
sawed_off_shotgun_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sharpshooter_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sharpshooter_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
sharpshooter_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
sharpshooter_reload_part_03	Combat	Firearms / Ranged Weapons	OutOfScope	
sharpshooter_reload_part_04	Combat	Firearms / Ranged Weapons	OutOfScope	
sharpshooter_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_polymer_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
shotgun_polymer_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
shotgun_reload	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_reload_part_04	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_shell_eject	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_shell_insert	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgun_wood_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
shotgun_wood_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
shotgundb_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgundb_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgundb_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgundb_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
shotgunshells_grab	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
shotgunshells_place	Combat	Firearms / Ranged Weapons	Primary	11_InteractionPrompts
smg_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_fire_end	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_mag_in	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_mag_out	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_sight_in	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_sight_out	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_slide_back	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_slide_fwd	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
smg_slide_up	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sniperrifle_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sniperrifle_reload_part_01	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sniperrifle_reload_part_02	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sniperrifle_reload_part_03	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sniperrifle_reload_part_04	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
sniperrifle_s_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
spear_fire	Combat	Firearms / Ranged Weapons	OutOfScope	
tacticalar_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
tacticalar_reload_part_01	Combat	Firearms / Ranged Weapons	OutOfScope	
tacticalar_reload_part_02	Combat	Firearms / Ranged Weapons	OutOfScope	
tacticalar_reload_part_03	Combat	Firearms / Ranged Weapons	OutOfScope	
turret_fire	Combat	Firearms / Ranged Weapons	Primary	3_GunFire
bicycle_impact	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface;5_VehiclesNoHorn
bladetrap_impact	Combat	Impacts / Material Hits / Breaks	OutOfScope	
breakleg	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitglass	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitplant	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitsnow	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitwater	Combat	Impacts / Material Hits / Breaks	OutOfScope	
bullethitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
chuckboulderimpact	Combat	Impacts / Material Hits / Breaks	OutOfScope	
clothdestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
clothdestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
clothdestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
clothdestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
collector_destroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
drug_jailbreakers_grab	Combat	Impacts / Material Hits / Breaks	Primary	11_InteractionPrompts
drug_jailbreakers_place	Combat	Impacts / Material Hits / Breaks	Primary	11_InteractionPrompts
drug_ohshitz_grab	Combat	Impacts / Material Hits / Breaks	Primary	11_InteractionPrompts
drug_ohshitz_place	Combat	Impacts / Material Hits / Breaks	Primary	11_InteractionPrompts
earthdestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
earthdestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
earthdestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
earthdestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
electric_fence_impact	Combat	Impacts / Material Hits / Breaks	Primary	6_ElectricalAndBlockLoops
entityhitsground	Combat	Impacts / Material Hits / Breaks	OutOfScope	
glassdestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
glassdestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
glassdestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
glassdestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
hitarmorleather	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
hitarmormetal	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
hitarmyhelmet	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
HitEntitySound	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
impactbodyheavy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
impactbodylight	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
impactdriver	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
impactdriver_grab	Combat	Impacts / Material Hits / Breaks	Primary	11_InteractionPrompts
impactdriver_place	Combat	Impacts / Material Hits / Breaks	Primary	11_InteractionPrompts
itembreak	Combat	Impacts / Material Hits / Breaks	OutOfScope	
keystone_destroyed	Combat	Impacts / Material Hits / Breaks	OutOfScope	
keystone_impact_overlay	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metaldestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
metaldestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
metaldestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
metaldestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
metalhitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitglass	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitplant	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitwater	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalhollowhitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
metalsolidhitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
minibike_impact_	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface;5_VehiclesNoHorn
nest_destroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organicdestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
organicdestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
organicdestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
organicdestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
organichitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitglass	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitplant	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitwater	Combat	Impacts / Material Hits / Breaks	OutOfScope	
organichitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
pipe_rifle_hit1	Combat	Impacts / Material Hits / Breaks	OutOfScope	
pipe_rifle_hit2	Combat	Impacts / Material Hits / Breaks	OutOfScope	
pipe_shotgun_hit1	Combat	Impacts / Material Hits / Breaks	OutOfScope	
pipe_shotgun_hit2	Combat	Impacts / Material Hits / Breaks	OutOfScope	
plantdestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
plantdestroy1	Combat	Impacts / Material Hits / Breaks	OutOfScope	
plantdestroy2	Combat	Impacts / Material Hits / Breaks	OutOfScope	
plantdestroy3	Combat	Impacts / Material Hits / Breaks	OutOfScope	
plasticdestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
stonedestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
stonedestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
stonedestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
stonedestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
stonehitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitglass	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitplant	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitwater	Combat	Impacts / Material Hits / Breaks	OutOfScope	
stonehitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwmetalhitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwmetalhitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwmetalhitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwmetalhitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwmetalhitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwmetalhitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwstonehitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwstonehitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwstonehitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwstonehitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwstonehitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
throwstonehitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trap3x3ConcDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trap3x3WoodDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trapCatwalkMetalDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trapCeilTileDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trapConcDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trapGlassPaneDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
trapWoodDestroy	Combat	Impacts / Material Hits / Breaks	OutOfScope	
treefallimpact	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
treelogimpact	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
trunkbreak	Combat	Impacts / Material Hits / Breaks	OutOfScope	
waterblockimpact	Combat	Impacts / Material Hits / Breaks	OutOfScope	
wire_dead_break	Combat	Impacts / Material Hits / Breaks	OutOfScope	
wire_live_break	Combat	Impacts / Material Hits / Breaks	OutOfScope	
wooddestroy	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
wooddestroy1	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
wooddestroy2	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
wooddestroy3	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
woodhitcloth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitearth	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitglass	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitmetal	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitorganic	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitplant	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitstone	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitwater	Combat	Impacts / Material Hits / Breaks	OutOfScope	
woodhitwood	Combat	Impacts / Material Hits / Breaks	OutOfScope	
zpack_impact	Combat	Impacts / Material Hits / Breaks	Primary	2_ImpactHarvestSurface
auger_empty	Combat	Melee / Tools / Repair-Upgrade Actions	Primary	1_AugerChainsaw
auger_equip	Combat	Melee / Tools / Repair-Upgrade Actions	Primary	1_AugerChainsaw
Auger_Fire_Start	Combat	Melee / Tools / Repair-Upgrade Actions	Primary	1_AugerChainsaw
auger_idle	Combat	Melee / Tools / Repair-Upgrade Actions	Primary	1_AugerChainsaw
axe_fire_swingheavy	Combat	Melee / Tools / Repair-Upgrade Actions	OutOfScope	
axe_fire_swinglight	Combat	Melee / Tools / Repair-Upgrade Actions	OutOfScope	
axe_iron_grab	Combat	Melee / Tools / Repair-Upgrade Actions	Primary	11_InteractionPrompts
