Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
modArmorPlatingReinforcedBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Plating, Banded",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Gebänderte-Panzerplatten-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de placas de armaduras con apósitos","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de bandage d'armure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della fascia di piastre per armatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] バンド結合アーマープレーティング改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 밴디드 갑옷 플레이트 추가 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Dodatkowe płyty z taśmami — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Placa de Armadura Amarrada","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Составная броня»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Bantlı Zırh Plakası Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 带状装甲板模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 鑲邊裝甲防護板模組"
modArmorQuadStoragePocketBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Pocket x4",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Vierfachtaschen-Mod für Rüstung","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de bolsillo cuádruple para armadura","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de quadruple poche d'armure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della tasca quadrupla armatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] アーマークアッドポケット改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 방어구 4배 주머니 모드","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Czterokrotnie większa kieszeń na pancerzu — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de bolso quádruplo de armadura","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Четверная бронированная сумка»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Zırh Dört Cep Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 护甲四收纳口袋模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 護甲四層收納袋模組"
modArmorStoragePocketBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Pocket x1",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Taschen-Mod für Rüstung","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de bolsillo para armadura","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de poche d'armure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della tasca armatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] アーマーポケット改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 방어구 주머니 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Kieszeń na pancerzu — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de bolso de armadura","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Бронированная сумка»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Zırh Cep Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 护甲收纳口袋模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 護甲收納袋模組"
modArmorTripleStoragePocketBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Pocket x3",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Dreifachtaschen-Mod für Rüstung","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de bolsillo triple para armadura","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de triple poche d'armure","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica della tripla tasca armatura","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] アーマートリプルポケット改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 방어구 3배 주머니 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Trzykrotnie większa kieszeń na pancerzu — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de bolso triplo de armadura","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Тройная бронированная сумка»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Zırh Üç Kat Cep Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 护甲三收纳口袋模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 護甲三層收納袋模組"
modArmorWaterPurifierBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod-Armor[-] Water Purifier",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod-Rüstung[-] Wasserreinigungs-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones-Armadura[-] Modificación de purificador de agua","([ffb400]Paquet[ffffff]) [DECEA3]Modification-Armure[-] Modification de purificateur d'eau","([ffb400]impacchettare[ffffff]) [DECEA3]Mod-Armatura[-] Modifica del depuratore d'acqua","([ffb400]包み[ffffff]) [DECEA3]MOD-アーマー[-] 浄水器改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드-방어구[-] 정수기 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja-Pancerz[-] Oczyszczacz wody — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação-Armadura[-] Modificação de Purificador de Água","([ffb400]пакет[ffffff]) [DECEA3]Модификация-Броня[-] Модификация «Очиститель воды»","([ffb400]bohça[ffffff]) [DECEA3]Mod-Zırh[-] Su Arıtma Modu","([ffb400]包裹[ffffff]) [DECEA3]模组-护甲[-] 净水器模组","([ffb400]包裹[ffffff]) [DECEA3]模組-護甲[-] 淨水器模組"
modFuelTankLargeBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod[-] Motor Tool Large Tank",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod[-] Großer-Motorwerkzeugtank-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones[-] Modificación de herramienta con motor de tanque grande","([ffb400]Paquet[ffffff]) [DECEA3]Modification[-] Modification de grand réservoir d'outils motorisés","([ffb400]impacchettare[ffffff]) [DECEA3]Mod[-] Modifica del serbatoio dell'utensile a motore grande","([ffb400]包み[ffffff]) [DECEA3]MOD[-] 動力ツール大容量タンク改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드[-] 모터 도구 대형 탱크 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja[-] Narzędzia spalinowe — duży zbiornik, modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação[-] Modificação de Ferramenta de Motor de Tanque Grande","([ffb400]пакет[ffffff]) [DECEA3]Модификация[-] Модификация «Большой бак бензоинструмента»","([ffb400]bohça[ffffff]) [DECEA3]Mod[-] Motorlu Alet Büyük Hazne Modu","([ffb400]包裹[ffffff]) [DECEA3]模组[-] 电动工具大油箱模组","([ffb400]包裹[ffffff]) [DECEA3]模組[-] 大電機工具箱模組"
modFuelTankSmallBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod[-] Motor Tool Small Tank",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod[-] Kleiner-Motorwerkzeugtank-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones[-] Modificación de herramienta con motor de tanque pequeño","([ffb400]Paquet[ffffff]) [DECEA3]Modification[-] Modification de petit réservoir d'outils motorisés","([ffb400]impacchettare[ffffff]) [DECEA3]Mod[-] Modifica del serbatoio dell'utensile a motore piccolo","([ffb400]包み[ffffff]) [DECEA3]MOD[-] 動力ツール小容量タンク改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드[-] 모터 도구 소형 탱크 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja[-] Narzędzia spalinowe — mały zbiornik, modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação[-] Modificação de Ferramenta de Motor de Tanque Pequena","([ffb400]пакет[ffffff]) [DECEA3]Модификация[-] Модификация «Малый бак бензоинструмента»","([ffb400]bohça[ffffff]) [DECEA3]Mod[-] Motorlu Alet Küçük Hazne Modu","([ffb400]包裹[ffffff]) [DECEA3]模组[-] 电动工具小油箱模组","([ffb400]包裹[ffffff]) [DECEA3]模組[-] 小電機工具箱模組"
modGunBarrelExtenderBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod[-] Barrel, Extender",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod[-] Vergrößerter-Gewehrlauf-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones[-] Modificación de ampliación de cañón","([ffb400]Paquet[ffffff]) [DECEA3]Modification[-] Modification de prolongement de canon","([ffb400]impacchettare[ffffff]) [DECEA3]Mod[-] Modifica dell'espansione della canna","([ffb400]包み[ffffff]) [DECEA3]MOD[-] バレル拡張改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드[-] 총열 확장 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja[-] Przedłużenie lufy — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação[-] Modificação de Extensor de Cano","([ffb400]пакет[ffffff]) [DECEA3]Модификация[-] Модификация «Удлиненный ствол»","([ffb400]bohça[ffffff]) [DECEA3]Mod[-] Namlu Uzatıcı Mod","([ffb400]包裹[ffffff]) [DECEA3]模组[-] 枪管延伸模组","([ffb400]包裹[ffffff]) [DECEA3]模組[-] 機槽模組"
modGunBipodBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod[-] Bipod",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod[-] Gewehrzweibein-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones[-] Modificación de estabilizador","([ffb400]Paquet[ffffff]) [DECEA3]Modification[-] Modification de bipied","([ffb400]impacchettare[ffffff]) [DECEA3]Mod[-] Modifica del bipiede","([ffb400]包み[ffffff]) [DECEA3]MOD[-] 二脚改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드[-] 2각대 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja[-] Dwójnóg — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação[-] Modificação de Bipé","([ffb400]пакет[ffffff]) [DECEA3]Модификация[-] Модификация «Сошка»","([ffb400]bohça[ffffff]) [DECEA3]Mod[-] Çatal Ayak Modu","([ffb400]包裹[ffffff]) [DECEA3]模组[-] 双脚支架模组","([ffb400]包裹[ffffff]) [DECEA3]模組[-] 兩足支架模組"
modGunBowArrowRestBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod[-] Arrow Rest",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod[-] Pfeilauflage-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones[-] Modificación de apoyo para flecha","([ffb400]Paquet[ffffff]) [DECEA3]Modification[-] Modification d'appuie-flèche","([ffb400]impacchettare[ffffff]) [DECEA3]Mod[-] Modifica dell'appoggiafreccia","([ffb400]包み[ffffff]) [DECEA3]MOD[-] アローレスト改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드[-] 화살 받침 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja[-] Podstawka pod strzałę — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação[-] Modificação de Apoio para Flechas","([ffb400]пакет[ffffff]) [DECEA3]Модификация[-] Модификация «Полка для стрельбы»","([ffb400]bohça[ffffff]) [DECEA3]Mod[-] Ok Yatağı Modu","([ffb400]包裹[ffffff]) [DECEA3]模组[-] 箭托模组","([ffb400]包裹[ffffff]) [DECEA3]模組[-] 箭託模組"
modGunBowPolymerStringBundle,items,Bundle,,,"([ffb400]Bundle[ffffff]) [DECEA3]Mod[-] Polymer String",,"([ffb400]Bündeln[ffffff]) [DECEA3]Mod[-] Kunststoffsehne-Mod","([ffb400]Manojo[ffffff]) [DECEA3]Modificaciones[-] Modificación de cadena de polímeros","([ffb400]Paquet[ffffff]) [DECEA3]Modification[-] Modification de ficelle en polymère","([ffb400]impacchettare[ffffff]) [DECEA3]Mod[-] Modifica della sequenza di polimeri","([ffb400]包み[ffffff]) [DECEA3]MOD[-] ポリマーストリング改造パーツ","([ffb400]일괄[ffffff]) [DECEA3]모드[-] 중합체 끈 개조","([ffb400]Pakiet[ffffff]) [DECEA3]Modyfikacja[-] Cięciwa z polimeru — modyfikacja","([ffb400]Pacote[ffffff]) [DECEA3]Modificação[-] Modificação de Corda de Polímero","([ffb400]пакет[ffffff]) [DECEA3]Модификация[-] Модификация «Синтетическая тетива»","([ffb400]bohça[ffffff]) [DECEA3]Mod[-] Polimer İp Modu","([ffb400]包裹[ffffff]) [DECEA3]模组[-] 聚合物弓弦模组","([ffb400]包裹[ffffff]) [DECEA3]模組[-] 聚合綫模組"
