Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
carAGFbackHoePlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFexcavatorPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFexcavatorClawPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFsemiTruckPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFsemiTruck01ModularPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFpolicePlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFambulancePlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFtruckWorkingStiffPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFbusCityPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFbusSchoolPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFbusSchoolShortPlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
carAGFbusShuttlePlanted,blocks,Name,,,,Vehicle Respawner,,Wiedererscheinen von Fahrzeugen,Reaparición de vehículos,Réapparition des véhicules,Reapparizione dei veicoli,車両再生,차량 재생,Odrodzenie pojazdów,Reaparecimento de veículos,Возрождение транспорта,Araç yeniden doğuşu,车辆重生,車輛重生
